year,gross_monthly_median
2013,3350
2013,2700
2013,3000
2013,3400
2013,3500
2013,3125
2013,3200
2013,3175
2013,3100
2013,3125
2013,3100
2013,3000
2013,3200
2013,3000
2013,3100
2013,3000
2013,2500
2013,3000
2013,3000
2013,3000
2013,3100
2013,2625
2013,3000
2013,3100
2013,2807
2013,3000
2013,3100
2013,3000
2013,3300
2013,3000
2013,3498
2013,3498
2013,2800
2013,3200
2013,3200
2013,3000
2013,3200
2013,2700
2013,2800
2013,3050
2013,3425
2013,3080
2013,3005
2013,4000
2013,2650
2013,3000
2013,2900
2013,3000
2013,3175
2013,3050
2013,3200
2013,3200
2013,3000
2013,3110
2013,3200
2013,3000
2013,3225
2013,5000
2013,4500
2013,2950
2013,3025
2013,2900
2013,2800
2013,3100
2013,3500
2013,2825
2013,3000
2013,3200
2013,3580
2013,3339
2013,3600
2013,3300
2013,3800
2013,3000
2013,3200
2013,5000
2013,5547
2014,3300
2014,2840
2014,3100
2014,3450
2014,3770
2014,3000
2014,3400
2014,3400
2014,3100
2014,3200
2014,3200
2014,3000
2014,3200
2014,3150
2014,3100
2014,3050
2014,2700
2014,3000
2014,3000
2014,3200
2014,3100
2014,3230
2014,3100
2014,3100
2014,2900
2014,3000
2014,3100
2014,3200
2014,3200
2014,3100
2014,3000
2014,3475
2014,3475
2014,2800
2014,3300
2014,3250
2014,3000
2014,3520
2014,2838
2014,2912
2014,3088
2014,3500
2014,3200
2014,3500
2014,4000
2014,4275
2014,2565
2014,3000
2014,3000
2014,3000
2014,3300
2014,3208
2014,3500
2014,3300
2014,3400
2014,3230
2014,3600
2014,3300
2014,3200
2014,5150
2014,5000
2014,3200
2014,3500
2014,2800
2014,3000
2014,3210
2014,3630
2014,2875
2014,3500
2014,3333
2014,3600
2014,3500
2014,3800
2014,3350
2014,4050
2014,3000
2014,3590
2014,5025
2014,5800
2014,2700
2014,2600
2014,2975
2014,3000
2014,2500
2014,2500
2014,3300
2014,3260
2014,3100
2014,3500
2014,3300
2014,2800
2014,3200
2014,3000
2014,2500
2014,3100
2014,3200
2014,3000
2014,3150
2014,3250
2014,3100
2014,3511
2014,2500
2014,2600
2015,3770
2015,2875
2015,3200
2015,4583
2015,3700
2015,3113
2015,3300
2015,3500
2015,3200
2015,3300
2015,3300
2015,3300
2015,3275
2015,3200
2015,3250
2015,3200
2015,2800
2015,3200
2015,3000
2015,3300
2015,3314
2015,3000
2015,3200
2015,3125
2015,2800
2015,3190
2015,3000
2015,3205
2015,3240
2015,3200
2015,3295
2015,3504
2015,3500
2015,3000
2015,3310
2015,3310
2015,3000
2015,3800
2015,2850
2015,3000
2015,3500
2015,3700
2015,3300
2015,3550
2015,4000
2015,4127
2015,3000
2015,3000
2015,3100
2015,3300
2015,3500
2015,3350
2015,4000
2015,3300
2015,3800
2015,3450
2015,3500
2015,3350
2015,3300
2015,4700
2015,4900
2015,3400
2015,3435
2015,3300
2015,3100
2015,3000
2015,3300
2015,3500
2015,3500
2015,3000
2015,3200
2015,3300
2015,3868
2015,3500
2015,3850
2015,3500
2015,3800
2015,3200
2015,3560
2015,4731
2015,5000
2015,3600
2015,3500
2015,3950
2015,2700
2015,3233
2015,2750
2015,2700
2015,3250
2015,3300
2015,3225
2015,3200
2015,3141
2015,3350
2015,2700
2015,2950
2015,3250
2015,2400
2015,3488
2015,3125
2015,3222
2015,3000
2015,3000
2015,3250
2015,3100
2015,3300
2015,3615
2015,2548
2015,2700
2016,2900
2016,3500
2016,3300
2016,4600
2016,3675
2016,3237
2016,3400
2016,3300
2016,3500
2016,3500
2016,3400
2016,3100
2016,3350
2016,3398
2016,3300
2016,3350
2016,2700
2016,3300
2016,3000
2016,3300
2016,3000
2016,3000
2016,3365
2016,3200
2016,3500
2016,2500
2016,3175
2016,3149
2016,3500
2016,3300
2016,3450
2016,3200
2016,3525
2016,3525
2016,3000
2016,3500
2016,3300
2016,4050
2016,3200
2016,3450
2016,3420
2016,3900
2016,3500
2016,3740
2016,3350
2016,3500
2016,3540
2016,3400
2016,4900
2016,3130
2016,3000
2016,3300
2016,3600
2016,3000
2016,3620
2016,2963
2016,3075
2016,4000
2016,4000
2016,4000
2016,3000
2016,3000
2016,3200
2016,5000
2016,3400
2016,3500
2016,3250
2016,3300
2016,3000
2016,3600
2016,3500
2016,3660
2016,3700
2016,4107
2016,3600
2016,4167
2016,3145
2016,3400
2016,4850
2016,5300
2016,3000
2016,3400
2016,4000
2016,2600
2016,2515
2016,3300
2016,3200
2016,3840
2016,3200
2016,3300
2016,3430
2016,2600
2016,3130
2016,3000
2016,2300
2016,3660
2016,3200
2016,3300
2016,3200
2016,3275
2016,3200
2016,3300
2016,3600
2016,3600
2016,4200
2016,2700
2016,3600
2016,4000
2016,3650
2017,3000
2017,3600
2017,3300
2017,5000
2017,3500
2017,3419
2017,3500
2017,3400
2017,3600
2017,3850
2017,3600
2017,3635
2017,3700
2017,3320
2017,3375
2017,3450
2017,2800
2017,3300
2017,3000
2017,3240
2017,3000
2017,3200
2017,3100
2017,3200
2017,3395
2017,3228
2017,2950
2017,3200
2017,3100
2017,3500
2017,3400
2017,3300
2017,3450
2017,3600
2017,3701
2017,3000
2017,3360
2017,3300
2017,4050
2017,3300
2017,3600
2017,3300
2017,3600
2017,3675
2017,3350
2017,3875
2017,3388
2017,3450
2017,5000
2017,3085
2017,3082
2017,3300
2017,3600
2017,3500
2017,3800
2017,3025
2017,3125
2017,4285
2017,4000
2017,4000
2017,4000
2017,2920
2017,3000
2017,3000
2017,5000
2017,3400
2017,3500
2017,2225
2017,3500
2017,4083
2017,3900
2017,3300
2017,3000
2017,3200
2017,3500
2017,4000
2017,3700
2017,4100
2017,4000
2017,4334
2017,3300
2017,3630
2017,5000
2017,5600
2017,3000
2017,2875
2017,3250
2017,3800
2017,2700
2017,2700
2017,3255
2017,3200
2017,3500
2017,3000
2017,3300
2017,3300
2017,2700
2017,3200
2017,3400
2017,2300
2017,3300
2017,3400
2017,3200
2017,3125
2017,3200
2017,3400
2017,3600
2017,3650
2017,3800
2017,2900
2017,3088
2017,2800
2017,3600
2017,4023
2017,3850
